[0.23123472],[0.22333596],[0.22174422],[0.22119126]
[0.10106134],[0.10105591],[0.07105304],[0.075]
[0.67253153],[0.6794383],[0.65964841],[0.9716867]
[15.07611931],[15.44120517],[15.59065462],[15.22219407]
[0.24983152],[0.23445961],[0.2340919],[0.23280656]
[0.18197201],[0.20031111],[0.23333333],[0.18197201]
[0.65376874],[0.69710006],[0.66890483],[0.69911399]
[15.32400231],[18.54827584],[16.02019365],[16.68856669]
[0.23178785],[0.22681406],[0.22375603],[0.22382212]
[0.03652726],[0.16261534],[0.16261534],[0.16261534]
[0.63979505],[0.89825195],[0.69301777],[0.8293999]
[17.15150525],[19.17600777],[41.79128431],[126.6204378]
[0.22618871],[0.21162688],[0.21081018],[0.21041611]
[0.09900684],[0.13052254],[0.16666667],[0.13541667]
[0.70053895],[0.72412205],[0.81103408],[0.82113]
[13.02642506],[16.0896645],[15.40279636],[16.45995331]
[0.23718335],[0.22211031],[0.22205207],[0.22165403]
[0.04385215],[0.08982861],[0.10428706],[0.08085528]
[0.6662411],[0.80222595],[0.85497612],[0.85593338]
[17.60950861],[18.0307891],[16.81101167],[19.71087615]
